B1 Loss,B2 Loss,P1 Loss,P2 Loss,Play 1,Play 2,Return,total_numsteps
-1.4229601621627808,-6.941562652587891,0.0387604720890522,0.8404045701026917,-8.120339,-3.2700608,-1.1314851,20
-2.198964834213257,-0.7182652950286865,0.015065091662108898,0.003440090222284198,0.5166101,0.046187773,-4.968622,30
-2.6071510314941406,-1.079642653465271,0.014785620383918285,0.0018264524405822158,0.29636586,-0.25469846,-4.4950557,40
-1.689439058303833,-1.4378124475479126,0.0003316614020150155,0.019901588559150696,-1.293896,-1.3043702,-2.4349232,50
-1.435743808746338,-1.223800539970398,0.0008947540773078799,0.0003818222612608224,0.29929078,-0.2297434,-4.5189185,60
-1.2105046510696411,-1.0577119588851929,0.04398031160235405,0.019119583070278168,2.1720748,-1.8840016,-5.4353867,70
-1.3407505750656128,-1.141601324081421,0.06413218379020691,0.0016594314947724342,0.55473393,-1.6218007,-3.7570932,80
-1.3382911682128906,-1.0848615169525146,0.055779896676540375,0.0323907770216465,-0.8503774,-1.268775,-2.7681248,90
-1.6096993684768677,-0.9344832897186279,0.08709363639354706,0.00022488537069875747,1.1569355,-2.1748211,-4.0790663,100
-1.2483307123184204,-1.4074445962905884,0.03888333961367607,0.004208472557365894,0.3237107,-1.8191698,-3.4186294,110
-2.2110280990600586,-1.177278757095337,0.03143146261572838,0.05294904485344887,-1.6866524,-1.8961976,-1.8321656,120
-1.5867526531219482,-1.2360552549362183,0.046825774013996124,0.007579119876027107,-0.76606476,-2.9942644,-1.9510384,130
-0.9262399077415466,-1.0218125581741333,0.002986499574035406,0.0064383638091385365,-0.90415686,-1.560629,-2.542685,140
-1.1745281219482422,-1.1150469779968262,0.028140347450971603,0.024695176631212234,-1.2092931,-2.6719592,-1.759043,150
-1.9415733814239502,-0.9767082929611206,0.020904963836073875,0.02049996145069599,-0.5328842,-2.4728522,-2.3414752,160
-1.3110679388046265,-1.2922149896621704,0.0034676736686378717,0.059231579303741455,-0.83081275,-0.53923774,-3.3138242,170
-1.330333948135376,-1.2580692768096924,0.010184372775256634,0.13493944704532623,-1.5822961,-2.3930802,-1.6423762,180
-2.17999005317688,-1.5430548191070557,0.0072252219542860985,0.07470541447401047,-0.6141299,-2.197976,-2.4077504,190
-1.8380637168884277,-1.4162187576293945,0.0013929177075624466,0.112265445291996,-1.6047014,-1.4152339,-2.166987,200
-1.813736915588379,-1.3465542793273926,0.008143777027726173,0.11931998282670975,-1.7967408,-1.1882946,-2.2035527,210
-2.384230375289917,-1.2785389423370361,0.06970276683568954,0.10691868513822556,-1.5439107,-2.6545048,-1.5507468,220
-2.072345495223999,-1.1677134037017822,0.13011004030704498,0.13039395213127136,-1.6987193,-3.5845475,-1.1468409,230
-1.8541265726089478,-1.1353718042373657,0.009570463560521603,0.14059782028198242,-1.7507313,-1.1928122,-2.2268822,240
-1.7634106874465942,-1.854407787322998,0.020185716450214386,0.19543637335300446,-2.3047097,-1.8093609,-1.5506458,250
-1.900075078010559,-1.2209713459014893,0.0004703260201495141,0.08755362778902054,-1.0363591,-0.6990615,-3.0407574,260
-1.5871225595474243,-1.6233713626861572,0.09538780152797699,0.09063263237476349,-1.0151325,-3.887981,-1.5214005,270
-1.3202712535858154,-1.1883658170700073,0.029931755736470222,0.1165875568985939,-1.5519446,-2.670419,-1.5392029,280
-1.3801101446151733,-0.9512212872505188,0.042688969522714615,0.08798982948064804,-0.8040829,-2.8662534,-1.969653,290
-1.4233834743499756,-0.961764395236969,0.09976919740438461,0.20845440030097961,-2.2235384,-3.8645425,-0.7998225,300
-1.6644366979599,-1.1744765043258667,0.09366010874509811,0.10809607058763504,-1.0660069,-3.6542516,-1.5366526,310
-1.5076206922531128,-1.5913532972335815,0.05152058228850365,0.11223896592855453,-1.3136001,-3.0751088,-1.5373112,320
-1.421677827835083,-1.2700769901275635,0.06569326668977737,0.07534071803092957,-0.84609145,-3.1448197,-1.8397025,330
-2.0678024291992188,-1.1103219985961914,0.17235243320465088,0.19713172316551208,-2.218801,-4.6638927,-0.69760317,340
-1.5557917356491089,-1.37246572971344,0.019957013428211212,0.1806672215461731,-1.631863,-1.575274,-2.0509417,350
-1.8483906984329224,-1.279373288154602,0.017199929803609848,0.16027404367923737,-1.2740831,-1.4487578,-2.3550026,360
-2.036825180053711,-1.1859699487686157,0.029778163880109787,0.13348603248596191,-0.9084879,-1.7582382,-2.422177,370
-1.4796537160873413,-1.1170696020126343,0.0013892172137275338,0.1352059245109558,-0.85569656,-0.4523957,-3.3649738,380
-1.9213855266571045,-1.0985792875289917,0.02774912118911743,0.14433026313781738,-0.8840486,-1.8104811,-2.4101412,390
-1.770189642906189,-1.1708714962005615,0.09649506956338882,0.23559269309043884,-1.8771685,-3.548688,-1.0540785,400
-2.918550491333008,-0.98237544298172,0.09938948601484299,0.24498575925827026,-2.2815278,-3.7691524,-0.79156244,410
-2.1529042720794678,-1.5897730588912964,0.058606550097465515,0.19440239667892456,-2.166227,-2.8256354,-1.1340561,420
-2.4027340412139893,-1.5136489868164062,0.09095528721809387,0.13502557575702667,-2.642988,-3.1096458,-0.81146187,430
-2.075774908065796,-1.0712559223175049,0.1156441867351532,0.07125769555568695,-1.9621379,-3.275981,-1.0845197,440
-1.590059757232666,-1.1565653085708618,0.14200156927108765,0.14079013466835022,-2.3740606,-3.601035,-0.7869031,450
-1.8652695417404175,-1.3107374906539917,0.03162766247987747,0.23273523151874542,-2.9728355,-1.77975,-1.2870584,460
-2.2299964427948,-1.3280848264694214,0.07637137919664383,0.14810392260551453,-1.7617072,-2.9473662,-1.3066529,470
-2.253488540649414,-1.0840613842010498,0.057057883590459824,0.16730833053588867,-1.7362791,-2.5235856,-1.4919558,480
-2.781677722930908,-1.0531455278396606,0.0774226039648056,0.17565399408340454,-1.8896908,-3.1975574,-1.1486953,490
-2.8899452686309814,-1.145961046218872,0.13914933800697327,0.14609761536121368,-1.7465812,-4.2698774,-0.98825026,500
-2.4560494422912598,-1.3007668256759644,0.10817354917526245,0.08719082921743393,-1.3145995,-3.710312,-1.3551532,510
-2.1556499004364014,-1.244088888168335,0.10614556074142456,0.1763695776462555,-2.7922037,-3.5662723,-0.61599463,520
-1.4042658805847168,-1.3133552074432373,0.11145798861980438,0.13329315185546875,-2.1599288,-3.750315,-0.855797,530
-1.4366459846496582,-1.1056827306747437,0.15055428445339203,0.12099893391132355,-1.8045152,-4.18967,-0.9660229,540
-1.6617469787597656,-1.0601630210876465,0.0770169049501419,0.16553190350532532,-2.1144857,-3.42973,-0.95928365,550
-2.063716173171997,-1.0953006744384766,0.09471570700407028,0.22223509848117828,-2.428274,-3.349574,-0.83001614,560
-2.1099817752838135,-1.025106430053711,0.14742974936962128,0.20332351326942444,-2.696122,-3.7096677,-0.6198055,570
-1.5350340604782104,-0.9534178376197815,0.15188904106616974,0.12007530778646469,-2.0269904,-3.5044546,-0.9844837,580
-1.7269585132598877,-1.2884256839752197,0.11007032543420792,0.08449383825063705,-1.4816524,-3.5631986,-1.2838372,590
-2.055199384689331,-1.1243854761123657,0.10645993798971176,0.1737326681613922,-2.6164513,-4.106233,-0.57601106,600
-1.8859646320343018,-1.1007860898971558,0.21024183928966522,0.13646180927753448,-1.6303791,-4.988198,-1.0092876,610
-1.5446088314056396,-1.002015233039856,0.16442418098449707,0.15573734045028687,-1.7070305,-4.3134294,-1.0057801,620
-1.8374930620193481,-1.099716067314148,0.14801719784736633,0.09506003558635712,-1.2418373,-4.3481627,-1.2932161,630
-1.876449465751648,-1.0665802955627441,0.10247734934091568,0.11364651471376419,-1.6877048,-3.6933672,-1.1269858,640
-1.5788726806640625,-1.5158843994140625,0.13268309831619263,0.11750034987926483,-1.5862812,-3.9396763,-1.1358011,650
-1.8316051959991455,-1.2387475967407227,0.05791855230927467,0.1669371873140335,-1.835911,-2.3738096,-1.5029631,660
-1.8174580335617065,-1.0283077955245972,0.15140710771083832,0.1945873200893402,-1.8435023,-3.3774183,-1.1196666,670
-1.5107004642486572,-1.1931514739990234,0.23603056371212006,0.12838232517242432,-1.2523062,-4.5536194,-1.2661746,680
-1.4302170276641846,-1.0385171175003052,0.09688571095466614,0.15260982513427734,-1.9508579,-3.6662817,-0.9845397,690
-2.0645077228546143,-0.9168464541435242,0.10115693509578705,0.1786586493253708,-2.147083,-4.019825,-0.80887806,700
-1.5658659934997559,-0.8801846504211426,0.06874477863311768,0.17642855644226074,-1.9899045,-3.7912395,-0.93526906,710
-1.954490065574646,-1.4146556854248047,0.040617216378450394,0.17135043442249298,-2.0046113,-3.1010103,-1.1180903,720
-2.086210012435913,-0.9731269478797913,0.05848217010498047,0.1582285463809967,-1.7348541,-3.246486,-1.2209767,730
-1.7964226007461548,-0.9636292457580566,0.09175699949264526,0.10380738973617554,-1.0780298,-3.9868891,-1.4585108,740
-2.119840145111084,-1.0977851152420044,0.0586962066590786,0.14170613884925842,-1.8402563,-3.1662517,-1.1863657,750
-1.8513758182525635,-0.9922661185264587,0.06381646543741226,0.12452589720487595,-1.5415328,-3.1769252,-1.3586308,760
-1.869349718093872,-1.0280840396881104,0.14380349218845367,0.09234169870615005,-0.9780816,-4.456739,-1.4640855,770
-2.3140830993652344,-1.0121843814849854,0.14813287556171417,0.11806543171405792,-1.3250682,-4.4746704,-1.2249862,780
-2.0021109580993652,-1.1360816955566406,0.014589947648346424,0.22136348485946655,-2.5958335,-2.4859233,-1.0756086,790
-1.9016989469528198,-0.9818124175071716,0.0022132706362754107,0.1026487722992897,-1.2988918,-2.4918025,-1.776823,800
-2.136770248413086,-1.0347743034362793,0.04961921274662018,0.07035113871097565,-1.0185828,-4.0198116,-1.4944401,810
-1.5338598489761353,-0.9950320720672607,0.05329848453402519,0.09653133898973465,-1.5337802,-3.4593675,-1.2789536,820
-2.096954345703125,-1.0860531330108643,0.09896013885736465,0.09709062427282333,-1.5257006,-4.298498,-1.1166987,830
-1.2282010316848755,-1.0257762670516968,0.06088925898075104,0.0836339071393013,-1.207911,-3.772749,-1.4120964,840
-1.8918700218200684,-0.9795382022857666,0.02518073469400406,0.11661466956138611,-1.7448511,-3.232583,-1.2195339,850
-2.2105093002319336,-0.9366234540939331,0.06028730422258377,0.08238494396209717,-1.1078917,-3.8803575,-1.4579651,860
-1.4892641305923462,-1.039810061454773,0.051923271268606186,0.1469254344701767,-2.078938,-3.4897532,-0.96119547,870
-1.3118932247161865,-0.8916953206062317,0.06376446783542633,0.06032771244645119,-1.195993,-3.9108918,-1.3917001,880
-1.6363667249679565,-0.8020198345184326,0.041338033974170685,0.09178698807954788,-1.8985475,-3.4581017,-1.0663517,890
-1.7374705076217651,-0.9193975329399109,0.05237775295972824,0.11999925225973129,-1.9356431,-3.5875502,-1.0120264,900
-2.065833330154419,-0.9716859459877014,0.040298741310834885,0.11559880524873734,-1.8317235,-3.2572784,-1.162227,910
-2.478888988494873,-0.9544134140014648,0.0029089816380292177,0.08098017424345016,-1.4516687,-1.9486127,-1.9468106,920
-2.368067979812622,-0.9257240295410156,0.05313064903020859,0.10689128190279007,-1.6634057,-4.0714164,-1.0662338,930
-2.134909152984619,-0.9672714471817017,0.09552046656608582,0.09527086466550827,-1.1952512,-4.634225,-1.2986583,940
-1.6115634441375732,-0.9739540815353394,0.04972708970308304,0.14521345496177673,-1.7015202,-3.7812972,-1.0991294,950
-1.947039008140564,-0.9222390055656433,0.019787751138210297,0.12946878373622894,-1.7600117,-2.7980008,-1.3641179,960
-1.510051965713501,-1.0071824789047241,0.02918839082121849,0.07958600670099258,-1.3393587,-2.9238276,-1.5742921,970
-1.6833363771438599,-1.0143072605133057,0.022900031879544258,0.09966479241847992,-1.6137232,-3.0824685,-1.3461154,980
-2.050750970840454,-1.0146429538726807,0.08855827152729034,0.18412789702415466,-2.6140704,-4.5674505,-0.52264524,990
-2.076198101043701,-1.186828374862671,0.08226858079433441,0.10613802820444107,-1.9799459,-4.01208,-0.89748544,1000
-1.4759466648101807,-1.1345895528793335,0.017196008935570717,0.09122105687856674,-1.9085842,-2.9956362,-1.2066067,1010
-1.9323644638061523,-0.9607897996902466,0.01351351011544466,0.09108461439609528,-1.7752069,-3.290401,-1.1841795,1020
-1.8989369869232178,-1.0953240394592285,0.09261779487133026,0.0559113509953022,-1.1058443,-4.7590976,-1.3531097,1030
-2.287571430206299,-0.9907662868499756,0.018326666206121445,0.09902890771627426,-1.7961938,-2.9568079,-1.2834673,1040
-1.630617380142212,-0.9789569973945618,0.04925503954291344,0.14791499078273773,-2.0368547,-3.983091,-0.87238514,1050
-1.5247403383255005,-0.9567040205001831,0.027932170778512955,0.0968872457742691,-1.4542172,-3.6883435,-1.2704905,1060
-2.01092267036438,-1.0262101888656616,0.008557810448110104,0.08981377631425858,-1.5607033,-3.1933064,-1.3415916,1070
-1.848036766052246,-1.276700735092163,0.0253083948045969,0.05866360664367676,-1.5825624,-3.6352277,-1.2036874,1080
-1.7079977989196777,-0.9049776792526245,0.04076402261853218,0.05867866426706314,-1.8358432,-3.4859369,-1.0937135,1090
-2.1519999504089355,-0.9471794366836548,0.03507217392325401,0.0957220271229744,-2.1437912,-3.6652958,-0.88349897,1100
-2.1066534519195557,-0.9940577745437622,0.020042499527335167,0.060286711901426315,-1.2954234,-3.3374338,-1.4656013,1110
-1.866073489189148,-1.000410795211792,0.035986416041851044,0.07060009241104126,-1.7177902,-3.8626673,-1.0725713,1120
-1.8804500102996826,-0.8723914623260498,0.031918395310640335,0.09180549532175064,-2.0276208,-3.7676773,-0.9203251,1130
-1.7532057762145996,-0.9295637607574463,0.07338865846395493,0.10394756495952606,-1.9762771,-4.2996154,-0.8563057,1140
-1.8095306158065796,-0.9247118830680847,0.085625559091568,0.13653714954853058,-2.179044,-4.4072084,-0.738595,1150
