Play 1,Play 2,Return,total_numsteps
-7.5174255,-8.439024,-1.6146061,63
-3.4522011,-5.6789684,-0.25392708,64
5.2148876,-4.055546,-9.354304,65
8.967129,-5.0037766,-17.340508,66
9.119961,-6.5234637,-17.928377,67
7.3084106,-8.465034,-14.53364,68
-2.2287116,-8.717719,-1.9112421,69
-9.188534,-5.7660236,-1.6116095,70
-9.763386,2.2752972,-6.72176,71
-9.724024,7.3055267,-15.44377,72
-8.148792,7.6765275,-15.165265,73
-2.404347,5.7375407,-10.847308,74
2.8949568,0.6787438,-8.406975,75
3.496796,-5.5524964,-6.444514,76
1.5548247,-7.728109,-4.480738,77
-1.5380996,-7.718216,-1.7220846,78
-4.719028,-7.7300415,-0.6695176,79
-6.797476,-6.4892917,-0.48434743,80
-7.5739646,-4.07137,-0.6655686,81
-7.289979,-1.1503212,-1.7834694,82
-5.7351,2.2434993,-4.7118807,83
-2.8295193,3.8800507,-7.4281154,84
0.47458363,2.9895875,-8.338184,85
1.8706312,0.70665145,-7.090796,86
1.455542,-1.7174357,-4.6621556,87
-0.113062374,-2.1532564,-2.8432097,88
-1.9302702,-1.292442,-2.059487,89
-2.608541,-0.41217878,-2.3793046,90
-2.0534778,-0.922526,-2.249581,91
-1.0965536,-1.5196365,-2.4310954,92
-0.99232787,-0.904355,-2.918733,93
-1.6490127,0.35338998,-3.545591,94
-2.5695052,1.2753755,-4.0255685,95
-3.382029,1.7227846,-4.2501035,96
-3.7906482,0.71882296,-3.0371082,97
-3.0068998,-0.77665097,-1.938589,98
-2.0237846,-1.1079143,-2.1338835,99
-1.3541648,-0.57580805,-2.9213855,100
-0.6843773,0.6389213,-4.481959,101
-0.3950494,0.9653137,-5.0480485,102
-0.19161424,0.70885533,-4.9521422,103
-0.123091824,0.8895074,-5.197381,104
-0.22807792,1.3918808,-5.655767,105
-0.65759,1.0625886,-4.943245,106
-0.6732122,0.54761165,-4.3997416,107
-0.52871734,0.46881005,-4.4355774,108
-0.039940283,0.38395944,-4.763485,109
-0.35434768,-0.03795339,-4.1070213,110
-1.184696,-0.05914036,-3.463879,111
-1.0201323,0.19776613,-3.809433,112
-0.61787117,0.48372704,-4.3799396,113
-0.28927603,0.6599213,-4.8200564,114
0.6690961,1.0905442,-6.154078,115
1.7688105,1.0868187,-7.36588,116
2.6328464,1.7833784,-5.9500713,117
3.1355271,3.0212245,2.6081886,118
3.2803903,3.4783337,4.727474,119
3.575594,3.0277574,4.0813265,120
3.627297,1.9949783,-0.9144678,121
3.0211496,1.3933141,-6.924032,122
2.637291,1.0394578,-8.426958,123
2.5056994,1.1590515,-8.379506,124
2.4549038,1.5304738,-8.515127,125
2.8541267,2.8256145,0.6672754,126
3.2331138,3.440752,4.446859,127
3.4418154,3.3755536,4.933234,128
3.3205426,3.4145305,4.6657095,129
2.8534997,3.475103,3.067225,130
2.7304566,3.0532944,1.0595102,131
2.7984762,2.8014388,0.31962204,132
3.2225025,2.7417624,1.7408657,133
3.667162,3.2921169,5.306678,134
4.154992,3.9819732,8.249583,135
4.2636747,3.5690699,7.410264,136
3.943684,2.929145,4.5957565,137
2.8057587,2.1077504,-3.179802,138
2.0486107,1.1685953,-7.7986207,139
1.4444793,1.2762601,-7.193134,140
1.1438074,1.7330446,-7.384912,141
1.246528,2.3258202,-8.238823,142
1.591799,3.673278,-3.3760252,143
1.8962704,4.441087,0.05447769,144
2.4828978,4.5244317,3.4380312,145
2.9229288,4.2067757,5.0565705,146
3.3980803,3.853452,6.119281,147
3.4519813,3.3029556,4.7236786,148
3.4139297,2.6460257,1.9431858,149
2.9373276,2.3220856,-1.4258423,150
2.6797976,2.3179536,-2.5767117,151
2.5623446,2.5125246,-2.1296978,152
3.1732812,2.9669752,2.5299087,153
3.2884822,3.7359862,5.472976,154
3.1705618,4.650823,6.5312314,155
3.080528,4.8838987,6.302148,156
3.2006545,4.8817368,6.7483697,157
2.5734415,4.4191523,3.7744298,158
2.4872298,4.3699646,3.2890415,159
2.4354606,3.7896566,1.9582062,160
2.180734,3.6241431,0.15875626,161
2.3897884,3.744271,1.6099396,162
2.5684392,3.9771926,3.0413775,163
2.303675,4.238189,2.1494756,164
2.2297614,4.304922,1.8426447,165
1.7467606,4.2095847,-1.2083225,166
1.8532605,3.9985847,-0.90480137,167
1.721008,3.6965,-2.450902,168
1.6952945,3.4517386,-3.3181934,169
1.6199087,3.4227684,-3.9126759,170
1.6632761,3.4178958,-3.6367798,171
1.83782,3.375208,-2.6393318,172
1.8243097,3.3886018,-2.681612,173
1.7498268,3.3740025,-3.2074928,174
1.6887678,3.2969532,-3.864627,175
1.7229873,3.0310545,-4.6155596,176
1.8838412,2.9171352,-4.048772,177
2.2379782,2.6313422,-3.2393036,178
2.200448,2.5244536,-3.9658203,179
2.1673915,2.751646,-3.0787668,180
2.1485763,3.377809,-0.7621212,181
2.0634377,4.183226,0.7094822,182
2.1196392,4.16306,1.0030537,183
2.2090118,4.573567,2.0285397,184
2.0640812,4.748702,1.3172302,185
2.0761113,4.3914266,1.080514,186
1.8324423,3.9068513,-1.2283955,187
1.7992582,3.615301,-2.16214,188
1.6216881,3.795156,-2.8646402,189
1.4539945,4.3150496,-3.043312,190
1.3980638,4.1999617,-3.614007,191
1.5606258,4.0813403,-2.6732311,192
1.8685514,4.2273097,-0.4030218,193
1.8916409,4.4707327,0.057979584,194
1.8901367,4.174859,-0.35210705,195
1.796744,3.7247343,-1.8871527,196
1.7226993,2.9564543,-4.9167805,197
1.6619036,2.3314552,-8.264019,198
1.5135689,2.1489425,-8.31413,199
1.6065023,2.2584906,-8.562805,200
1.6233205,2.5655713,-7.3284073,201
1.7444961,2.8336196,-5.2915096,202
1.8753045,3.0466952,-3.5791216,203
1.98807,3.2008095,-2.3088083,204
2.3797271,3.1802855,-0.17719078,205
2.1992073,3.3274314,-0.64192486,206
2.0090482,3.1159914,-2.4952812,207
2.098753,2.9887078,-2.4625301,208
1.9972223,3.1333828,-2.5009327,209
2.1275494,3.078635,-1.9426165,210
2.1715262,3.2508535,-1.0597773,211
2.2897828,3.2164483,-0.5263338,212
2.3084674,2.9117286,-1.6052246,213
2.3697746,2.953925,-1.1045094,214
2.4688914,2.8837805,-0.8848953,215
2.4043698,3.0812254,-0.41899204,216
2.4085386,3.2995858,0.39291954,217
2.3366632,3.233729,-0.21307659,218
2.4195218,3.693341,1.6337748,219
2.3118572,3.8648472,1.4853163,220
2.383397,4.158401,2.4451008,221
2.4402757,4.67698,3.3434691,222
2.5074015,4.3380475,3.3487716,223
2.685494,4.0874486,3.8103113,224
2.7076352,3.7264884,3.1232314,225
2.6586394,3.4022913,1.9653578,226
2.500371,3.2943382,0.84257317,227
2.6514263,3.7211158,2.8486567,228
2.6815975,3.8739586,3.3570404,229
2.6452904,4.415253,4.113414,230
2.513341,4.705563,3.7298336,231
2.4881723,4.6869745,3.5927367,232
2.607399,4.449896,3.9728456,233
2.7377117,4.191686,4.22868,234
2.7930176,4.193912,4.4794507,235
2.8016148,4.1603427,4.462078,236
2.8070831,3.9233983,4.032044,237
2.743542,3.9780247,3.8639636,238
2.7226572,3.8662448,3.5283089,239
2.7796671,3.8511758,3.7503247,240
2.9203444,3.9872727,4.649416,241
2.9741488,4.156597,5.1845984,242
2.880312,4.2330933,4.9187765,243
2.7006853,4.0815797,3.869656,244
2.3359823,4.3163514,2.4356346,245
1.8806121,4.4925485,0.011912346,246
1.5118475,4.3443184,-2.597126,247
1.668563,4.2742815,-1.6251411,248
1.7195343,4.109192,-1.5549936,249
1.924679,3.9569747,-0.54550076,250
2.0185962,3.9683511,0.046931267,251
2.078968,4.000139,0.4678507,252
2.1773067,4.0616894,1.1519756,253
2.133666,3.8666177,0.49957466,254
2.4079256,3.942524,2.1628947,255
2.580066,4.0154924,3.1746645,256
2.358678,3.6563492,1.2180214,257
2.0368156,3.4764628,-1.1016273,258
1.9178667,3.2310157,-2.628852,259
1.8909615,2.930224,-3.9500923,260
1.74236,2.7595525,-5.6318226,261
1.6463314,2.5849586,-7.0795193,262
1.433572,2.3582182,-8.491931,263
1.4339406,2.3588586,-8.49319,264
