Return,total_numsteps
-14.886008,63
-19.35363,64
-20.82561,65
-22.40276,66
-23.851469,67
-24.099655,68
-24.02038,69
-23.384201,70
-22.851374,71
-22.585524,72
-22.478445,73
-22.776987,74
-23.781492,75
-17.087927,76
-15.001083,77
-14.457523,78
-13.972565,79
-12.735168,80
-11.081205,81
-11.335672,82
-12.261156,83
-13.429768,84
-15.894505,85
-19.816105,86
-19.527826,87
-23.181385,88
-25.589901,89
-26.11996,90
-31.778564,91
-33.62321,92
-34.941093,93
-35.764328,94
-35.99283,95
-34.392586,96
-34.57771,97
-35.289825,98
-35.82538,99
-36.403706,100
-36.7855,101
-37.772545,102
-38.14615,103
-38.65458,104
-38.866432,105
-38.96762,106
-39.015648,107
-39.222023,108
-39.15368,109
-39.346252,110
-39.39034,111
-39.509003,112
-39.623047,113
-39.654182,114
-39.685463,115
-39.585625,116
-39.530895,117
-39.4908,118
-39.414383,119
-39.486347,120
-39.648357,121
-39.814415,122
-39.895073,123
-39.88629,124
-39.93366,125
-39.965145,126
-39.96502,127
-39.95874,128
-39.96691,129
-39.94285,130
-39.925232,131
-39.92782,132
-39.949364,133
-39.92604,134
-39.85785,135
-39.824944,136
-39.74517,137
-39.7775,138
-39.730118,139
-39.668797,140
-39.630226,141
-39.651928,142
-39.668636,143
-39.54674,144
-39.429543,145
-39.597862,146
-39.617496,147
-39.574787,148
-39.581207,149
-39.71558,150
-39.8163,151
-39.86534,152
-39.90883,153
-39.928413,154
-39.930534,155
-39.94589,156
-39.942516,157
-39.948452,158
-39.969566,159
-39.98957,160
-39.99694,161
-39.999065,162
-39.999725,163
-39.999893,164
-39.99996,165
-39.99998,166
-39.999992,167
-40.0,168
-40.0,169
-40.0,170
-40.0,171
-40.0,172
-40.0,173
-40.0,174
-40.0,175
-40.0,176
-40.0,177
-40.0,178
-40.0,179
-40.0,180
-40.0,181
-40.0,182
-40.0,183
-40.0,184
-40.0,185
-40.0,186
-40.0,187
-40.0,188
-40.0,189
-40.0,190
-40.0,191
-40.0,192
-40.0,193
-40.0,194
-40.0,195
-40.0,196
-40.0,197
-40.0,198
-40.0,199
-40.0,200
-40.0,201
-40.0,202
-40.0,203
-40.0,204
-40.0,205
-40.0,206
-40.0,207
-40.0,208
-40.0,209
-40.0,210
-40.0,211
-40.0,212
-40.0,213
-40.0,214
-40.0,215
-40.0,216
-40.0,217
-40.0,218
-40.0,219
-40.0,220
-40.0,221
-40.0,222
