Return,total_numsteps
-1.8755692,63
-0.538435,64
-4.2839193,65
-18.90447,66
-31.436523,67
-25.399406,68
-3.3808708,69
-6.969269,70
-1.8346859,71
-0.8887316,72
-0.29146022,73
-2.0953481,74
-8.9622965,75
2.857925,76
3.297687,77
-7.9405046,78
-1.9973911,79
-0.58447313,80
-0.62035674,81
-0.77557415,82
-1.5079693,83
-2.6703334,84
-4.2586703,85
-4.3754053,86
-2.9204996,87
-1.3234748,88
-0.52191913,89
-0.4415597,90
-0.7927474,91
-1.8642577,92
-3.320535,93
-3.8909874,94
-3.8877397,95
-3.7752666,96
-2.922285,97
-2.135671,98
-2.0118623,99
-2.2119937,100
-2.8005197,101
-3.3081067,102
-3.79582,103
-4.6272693,104
-5.7202964,105
-5.723112,106
-4.741153,107
-3.3227825,108
-2.2590523,109
-1.1437719,110
-0.43036762,111
-0.57294035,112
-1.0519352,113
-1.8535999,114
-3.1074214,115
-4.056148,116
-4.994388,117
-6.0677657,118
-6.111282,119
-5.9581847,120
-5.61991,121
-5.5627065,122
-5.5638485,123
-5.776349,124
-5.8813014,125
-6.459929,126
-6.7235374,127
-6.751414,128
-7.0341544,129
-7.696134,130
-8.017906,131
-8.506754,132
-8.032766,133
-0.4312315,134
4.596772,135
5.0225897,136
2.9971728,137
-2.0404072,138
-7.916836,139
-8.080309,140
-7.6056337,141
-7.664099,142
-8.148376,143
-8.793704,144
-8.981551,145
-8.776276,146
-6.650484,147
-4.1150713,148
-2.8614902,149
-3.9980135,150
-4.2189074,151
-3.8949738,152
-0.53233147,153
0.5201845,154
1.2906046,155
2.4153614,156
4.0873675,157
1.7281008,158
2.4882712,159
2.1707277,160
1.8606653,161
2.2564096,162
2.2553973,163
0.280694,164
-1.137353,165
-5.316786,166
-4.978697,167
-6.3456516,168
-5.950966,169
-6.338194,170
-5.942749,171
-4.34711,172
-4.331108,173
-7.793091,174
-8.121033,175
-7.2791495,176
-6.8273034,177
-6.7789674,178
-6.8807907,179
-7.501344,180
-8.267433,181
-4.3909616,182
-4.0952168,183
-0.77611923,184
-2.4166546,185
-4.2376537,186
-8.911188,187
-8.29706,188
-8.291818,189
-8.943191,190
-8.674672,191
-8.3725395,192
-8.566796,193
-8.64033,194
-7.9200435,195
-7.514081,196
-6.869022,197
-6.595656,198
-6.42948,199
-6.810402,200
-7.1895156,201
