Return,total_numsteps
-3.0942822,63
-1.8296074,64
-2.4977922,65
-4.127341,66
-4.638553,67
-5.5777507,68
-6.13164,69
-5.8545055,70
-5.2319293,71
-5.207084,72
-5.5615034,73
-5.3676233,74
-5.0809603,75
-5.001326,76
-5.0802917,77
-5.386122,78
-5.4256415,79
-5.5167775,80
-5.675712,81
-5.9692497,82
-6.247753,83
-6.4678473,84
-6.4676895,85
-6.4838595,86
-6.209366,87
-5.914617,88
-5.669317,89
-5.5938554,90
-5.6406646,91
-5.7066307,92
-5.6564574,93
-5.633409,94
-5.704853,95
-5.738566,96
-5.758368,97
-5.8032527,98
-5.862226,99
-5.9850574,100
-6.1950235,101
-6.3650856,102
-6.405623,103
-6.294118,104
-6.3729243,105
-6.5636187,106
-6.643314,107
-6.783115,108
-6.8135667,109
-6.8422275,110
-6.9553437,111
-7.1382613,112
-7.404663,113
-7.5806246,114
-7.8095565,115
-7.8260226,116
-7.9205337,117
-8.215477,118
-8.441974,119
-8.294344,120
-7.0552444,121
-6.2236824,122
-5.5490437,123
-4.6206656,124
-3.6706657,125
-2.4202042,126
-0.9380455,127
-0.25816345,128
0.32642174,129
0.6518669,130
0.5321369,131
0.5278816,132
0.53242874,133
0.70189667,134
1.0794926,135
1.3753366,136
1.0776157,137
1.0358639,138
0.76072025,139
0.5938797,140
0.4899702,141
0.23013592,142
-1.0769377,143
-0.4420538,144
-0.40527153,145
-0.6136036,146
-0.5542259,147
-1.107523,148
-0.017206192,149
0.5111284,150
1.9931488,151
1.2313051,152
1.7115831,153
2.7014375,154
2.4969,155
3.661302,156
4.401723,157
4.281251,158
3.987475,159
3.7295256,160
3.5308223,161
3.4554958,162
3.613387,163
3.647252,164
3.8215313,165
4.1484385,166
4.465191,167
4.067506,168
4.240743,169
4.5515585,170
4.2795334,171
4.605883,172
4.5368958,173
4.975923,174
5.024508,175
5.2390914,176
5.5236406,177
5.698727,178
5.9679236,179
6.334067,180
6.647598,181
6.670969,182
7.094937,183
7.5225577,184
7.871564,185
8.198106,186
8.4030075,187
8.658033,188
8.799352,189
8.631023,190
8.559424,191
8.3987255,192
8.121557,193
8.264285,194
8.126862,195
7.9873714,196
7.9027095,197
8.039082,198
8.312283,199
8.502904,200
8.484734,201
8.706497,202
8.92217,203
9.241372,204
9.234574,205
9.223105,206
9.237535,207
9.120389,208
9.017594,209
8.951973,210
8.72963,211
8.543223,212
8.476776,213
7.9243574,214
8.074462,215
7.7772245,216
7.4748583,217
7.350745,218
7.5299416,219
7.3902354,220
7.4210567,221
8.331557,222
8.323614,223
8.134422,224
8.113415,225
8.322433,226
8.657815,227
8.807055,228
8.932027,229
8.879219,230
8.901697,231
9.1889925,232
9.29326,233
9.080204,234
9.03045,235
9.090892,236
8.99113,237
9.146164,238
9.4397745,239
9.344992,240
9.612809,241
9.79,242
9.771549,243
9.8846445,244
9.896129,245
9.9489565,246
9.909342,247
9.9154,248
9.790736,249
9.738689,250
9.732434,251
9.818843,252
9.629011,253
9.53008,254
9.676991,255
9.463138,256
9.674477,257
9.791885,258
9.735816,259
9.683933,260
9.579894,261
9.575487,262
9.594022,263
9.6329565,264
9.703798,265
9.66358,266
9.189836,267
9.085878,268
9.001758,269
9.0391245,270
8.976789,271
9.018108,272
9.130533,273
9.115188,274
9.166105,275
9.554206,276
9.691813,277
9.80256,278
9.891095,279
9.926161,280
9.9785595,281
9.966268,282
9.926287,283
9.8005,284
9.563847,285
9.458765,286
9.286828,287
9.275164,288
9.03733,289
8.753508,290
8.975532,291
8.804352,292
9.110035,293
8.96777,294
8.953348,295
9.46518,296
9.398261,297
9.437522,298
9.305549,299
9.07488,300
9.1856365,301
8.689611,302
8.622151,303
8.561218,304
8.354652,305
7.9759126,306
7.9438286,307
7.4693556,308
6.909197,309
6.6470795,310
6.3269577,311
6.130787,312
6.920334,313
7.0302114,314
7.7343183,315
8.2875805,316
8.829459,317
9.510069,318
9.740917,319
9.636468,320
9.793898,321
9.814243,322
9.860227,323
9.779942,324
9.765409,325
9.86324,326
9.785667,327
9.882829,328
9.881319,329
9.877971,330
9.925118,331
9.895806,332
9.844571,333
9.766218,334
9.287644,335
9.303918,336
9.085918,337
8.7361965,338
8.471012,339
8.382144,340
8.515171,341
8.062537,342
8.227391,343
8.397554,344
8.392709,345
8.780761,346
9.066297,347
9.358184,348
9.497522,349
9.440985,350
9.365526,351
9.257643,352
9.228324,353
9.386907,354
9.161051,355
8.810219,356
8.742424,357
8.493421,358
8.117131,359
7.6777525,360
6.9842634,361
7.0010567,362
6.827714,363
7.0108128,364
7.648864,365
7.640314,366
7.909656,367
8.620901,368
8.681924,369
8.791451,370
8.537386,371
8.286063,372
7.7518187,373
7.2083626,374
6.7745504,375
6.8388467,376
7.0846777,377
7.34098,378
7.9206414,379
8.246264,380
8.331331,381
8.717631,382
8.923545,383
9.314623,384
9.3385935,385
9.444567,386
9.4933815,387
9.511815,388
9.277806,389
9.277724,390
9.043494,391
8.661174,392
8.425496,393
8.295177,394
7.871772,395
7.521453,396
7.164136,397
7.2018223,398
6.2107487,399
6.3540106,400
