Return,total_numsteps
-10.293021,63
-11.191422,64
-11.939501,65
-10.27937,66
-6.7493567,67
-3.8103828,68
-3.2186177,69
-3.1535804,70
-3.0231853,71
-3.434237,72
-4.243993,73
-4.0986304,74
-4.520203,75
-5.1304293,76
-4.231646,77
-3.8086517,78
-3.7255821,79
-4.255676,80
-4.446976,81
-5.826544,82
-5.5892043,83
-5.939811,84
-6.5142875,85
-5.965982,86
-6.0024056,87
-6.9979005,88
-6.6724916,89
-5.5145874,90
-4.618171,91
-4.5377755,92
-4.1466584,93
-4.867154,94
-6.4054885,95
-8.834207,96
-6.7961464,97
-9.936035,98
-13.7807865,99
-16.579065,100
-16.980434,101
-15.961841,102
-14.354212,103
-12.37223,104
-9.525875,105
-6.87789,106
-5.2023273,107
-4.3801475,108
-4.266659,109
-4.820458,110
-5.9393134,111
-7.1926956,112
-7.9481936,113
-8.909264,114
-9.074797,115
-9.133778,116
-9.104065,117
-8.59272,118
-8.332538,119
-7.6383095,120
-6.6766024,121
-5.518088,122
-4.7120624,123
-4.4318194,124
-4.267959,125
-4.1605277,126
-4.575067,127
-4.7377443,128
-4.663174,129
-4.6162963,130
-4.627767,131
-4.5024967,132
-4.3157635,133
-3.9966812,134
-4.0707116,135
-4.157327,136
-4.3382354,137
-4.228342,138
-4.1563544,139
-3.8517609,140
-3.5846367,141
-3.7143095,142
-3.61665,143
-3.662101,144
-3.8733768,145
-4.026643,146
-4.332177,147
-4.610992,148
-5.0145583,149
-5.289642,150
-5.5817895,151
-5.440779,152
-4.9820876,153
-4.450602,154
-3.8017578,155
-3.3657994,156
-3.3473861,157
-3.326437,158
-3.4894593,159
-3.5881946,160
-3.9472694,161
-3.8715515,162
-4.0122323,163
-3.937941,164
-3.9307363,165
-3.9213097,166
-3.9544823,167
-4.1544356,168
-4.456934,169
-4.575761,170
-4.665981,171
-4.646487,172
-4.429056,173
-4.2234926,174
-3.982312,175
-3.7745626,176
-3.6354356,177
-3.6580422,178
-3.7423863,179
-3.8891537,180
-4.033171,181
-4.046034,182
-4.030285,183
-3.9360063,184
-3.969745,185
-3.8764882,186
-3.71791,187
-3.6090953,188
-3.444331,189
-3.4137704,190
-3.6075504,191
-3.910846,192
-4.3839087,193
-4.675817,194
-4.893871,195
-5.234718,196
-5.4183183,197
-5.420694,198
-5.169769,199
-4.945624,200
-4.627899,201
-4.7799006,202
-5.010328,203
-4.9531016,204
-5.323911,205
-5.583558,206
-5.6952763,207
-5.874035,208
-6.0988803,209
-6.257192,210
-6.563933,211
-6.8870034,212
