Return,total_numsteps
-1.6146061,63
-0.25392708,64
-9.354304,65
-17.340508,66
-17.928377,67
-14.53364,68
-1.9112421,69
-1.6116095,70
-6.72176,71
-15.44377,72
-15.165265,73
-10.847308,74
-8.406975,75
-6.444514,76
-4.480738,77
-1.7220846,78
-0.6695176,79
-0.48434743,80
-0.6655686,81
-1.7834694,82
-4.7118807,83
-7.4281154,84
-8.338184,85
-7.090796,86
-4.6621556,87
-2.8432097,88
-2.059487,89
-2.3793046,90
-2.249581,91
-2.4310954,92
-2.918733,93
-3.545591,94
-4.0255685,95
-4.2501035,96
-3.0371082,97
-1.938589,98
-2.1338835,99
-2.9213855,100
-4.481959,101
-5.0480485,102
-4.9521422,103
-5.197381,104
-5.655767,105
-4.943245,106
-4.3997416,107
-4.4355774,108
-4.763485,109
-4.1070213,110
-3.463879,111
-3.809433,112
-4.3799396,113
-4.8200564,114
-6.154078,115
-7.36588,116
-5.9500713,117
2.6081886,118
4.727474,119
4.0813265,120
-0.9144678,121
-6.924032,122
-8.426958,123
-8.379506,124
-8.515127,125
0.6672754,126
4.446859,127
4.933234,128
4.6657095,129
3.067225,130
1.0595102,131
0.31962204,132
1.7408657,133
5.306678,134
8.249583,135
7.410264,136
4.5957565,137
-3.179802,138
-7.7986207,139
-7.193134,140
-7.384912,141
-8.238823,142
-3.3760252,143
0.05447769,144
3.4380312,145
5.0565705,146
6.119281,147
4.7236786,148
1.9431858,149
-1.4258423,150
-2.5767117,151
-2.1296978,152
2.5299087,153
5.472976,154
6.5312314,155
6.302148,156
6.7483697,157
3.7744298,158
3.2890415,159
1.9582062,160
0.15875626,161
1.6099396,162
3.0413775,163
2.1494756,164
1.8426447,165
-1.2083225,166
-0.90480137,167
-2.450902,168
-3.3181934,169
-3.9126759,170
-3.6367798,171
-2.6393318,172
-2.681612,173
-3.2074928,174
-3.864627,175
-4.6155596,176
-4.048772,177
-3.2393036,178
-3.9658203,179
-3.0787668,180
-0.7621212,181
0.7094822,182
1.0030537,183
2.0285397,184
1.3172302,185
1.080514,186
-1.2283955,187
-2.16214,188
-2.8646402,189
-3.043312,190
-3.614007,191
-2.6732311,192
-0.4030218,193
0.057979584,194
-0.35210705,195
-1.8871527,196
-4.9167805,197
-8.264019,198
-8.31413,199
-8.562805,200
-7.3284073,201
-5.2915096,202
-3.5791216,203
-2.3088083,204
-0.17719078,205
-0.64192486,206
-2.4952812,207
-2.4625301,208
-2.5009327,209
-1.9426165,210
-1.0597773,211
-0.5263338,212
-1.6052246,213
-1.1045094,214
-0.8848953,215
-0.41899204,216
0.39291954,217
-0.21307659,218
1.6337748,219
1.4853163,220
2.4451008,221
3.3434691,222
3.3487716,223
3.8103113,224
3.1232314,225
1.9653578,226
0.84257317,227
2.8486567,228
3.3570404,229
4.113414,230
3.7298336,231
3.5927367,232
3.9728456,233
4.22868,234
4.4794507,235
4.462078,236
4.032044,237
3.8639636,238
3.5283089,239
3.7503247,240
4.649416,241
5.1845984,242
4.9187765,243
3.869656,244
2.4356346,245
0.011912346,246
-2.597126,247
-1.6251411,248
-1.5549936,249
-0.54550076,250
0.046931267,251
0.4678507,252
1.1519756,253
0.49957466,254
2.1628947,255
3.1746645,256
1.2180214,257
-1.1016273,258
-2.628852,259
-3.9500923,260
-5.6318226,261
-7.0795193,262
-8.491931,263
-8.49319,264
-8.19384,265
-5.884857,266
-2.320589,267
1.5352535,268
3.5516562,269
4.141779,270
4.9120464,271
4.8904533,272
5.244714,273
6.073439,274
6.138228,275
5.8699865,276
6.1887064,277
5.771478,278
5.1980433,279
5.488327,280
5.135676,281
4.658423,282
4.4480953,283
4.664778,284
3.5949683,285
2.9721231,286
1.9713068,287
1.8215141,288
0.5615206,289
0.989378,290
3.489399,291
3.6583662,292
3.2583308,293
2.2583785,294
3.1026587,295
3.637577,296
4.8409157,297
6.231662,298
5.833059,299
4.839369,300
4.9007645,301
3.1489487,302
1.3704634,303
1.6242847,304
2.4173365,305
2.11832,306
3.1270914,307
4.2365365,308
4.2685876,309
3.507402,310
2.2820973,311
0.5706444,312
-0.51038456,313
-0.04438305,314
1.5810452,315
2.7174888,316
2.5856476,317
2.344473,318
2.7044525,319
1.4670715,320
2.0604205,321
4.403247,322
5.0035233,323
5.850871,324
6.4482646,325
5.936361,326
6.46693,327
7.0696945,328
7.392152,329
7.624604,330
7.343141,331
7.556712,332
7.245028,333
6.6993103,334
6.4005156,335
6.078185,336
5.967383,337
6.272315,338
6.6887865,339
6.674008,340
7.0476627,341
6.746194,342
7.4172487,343
7.576964,344
7.857765,345
8.254516,346
7.81827,347
7.95296,348
7.791236,349
8.042524,350
8.497907,351
9.190255,352
9.303247,353
9.305235,354
9.134353,355
8.767031,356
8.069785,357
7.484935,358
6.6021905,359
5.2250032,360
4.8672504,361
5.645362,362
5.6510005,363
5.373724,364
5.8817725,365
5.5435452,366
6.4404974,367
6.653184,368
6.769884,369
6.2571306,370
5.8091044,371
5.3848524,372
5.5756803,373
5.3462195,374
5.9493318,375
7.2378335,376
6.960372,377
7.6382303,378
7.2567616,379
6.9116116,380
7.256232,381
7.576642,382
8.090321,383
8.0753,384
7.9524326,385
7.949923,386
7.7440367,387
7.4313545,388
7.385472,389
7.4104433,390
7.170985,391
6.7942553,392
7.468145,393
8.520281,394
9.077854,395
9.416133,396
9.648521,397
9.679339,398
9.645399,399
9.447472,400
9.139185,401
9.28673,402
9.382856,403
9.32804,404
9.109822,405
9.115198,406
9.223919,407
9.040735,408
8.946462,409
9.103795,410
8.996917,411
8.91448,412
8.754906,413
8.731395,414
8.618506,415
8.624023,416
8.55356,417
8.506624,418
8.933773,419
8.959149,420
9.109057,421
8.660225,422
9.05068,423
9.417409,424
9.293876,425
9.622451,426
9.72479,427
9.583943,428
9.547118,429
9.502487,430
9.450363,431
9.526059,432
9.321148,433
8.997575,434
8.681705,435
9.075016,436
9.405298,437
9.762196,438
9.93857,439
9.540236,440
9.476749,441
9.766009,442
9.844847,443
9.83045,444
9.859772,445
9.849765,446
9.530685,447
9.179146,448
9.349085,449
9.318706,450
9.655536,451
9.579944,452
9.891162,453
9.998443,454
9.754073,455
9.776787,456
9.690777,457
9.823962,458
9.9082985,459
9.959258,460
9.865939,461
9.892618,462
9.686005,463
9.342455,464
8.941852,465
9.093789,466
9.034257,467
8.921625,468
8.795333,469
9.37658,470
9.426613,471
9.540545,472
9.236711,473
9.327816,474
8.733713,475
8.687116,476
7.471577,477
7.3798475,478
6.9414597,479
7.2983913,480
7.664659,481
8.5347395,482
8.145902,483
8.249942,484
8.362074,485
9.012732,486
9.167208,487
9.716468,488
9.866792,489
9.999189,490
9.8555155,491
9.596728,492
9.5616665,493
9.810681,494
9.828081,495
9.577141,496
9.40818,497
9.3810215,498
9.38615,499
9.509192,500
9.032951,501
8.327419,502
8.97047,503
9.374913,504
9.519434,505
9.307419,506
8.96927,507
8.941294,508
8.892228,509
8.189127,510
7.752385,511
7.5749316,512
8.33476,513
8.053541,514
8.582531,515
8.267084,516
8.454745,517
9.011272,518
9.348319,519
9.366728,520
9.499224,521
9.437067,522
8.926548,523
8.529589,524
7.936285,525
7.1848707,526
7.034461,527
5.843462,528
6.565089,529
7.52544,530
8.135807,531
9.329354,532
9.810252,533
9.803397,534
9.768779,535
9.502946,536
9.226814,537
8.966174,538
8.749838,539
8.373355,540
8.1967,541
7.528084,542
6.9852858,543
5.540291,544
4.8957806,545
3.9709854,546
4.919779,547
6.1838408,548
7.4177113,549
7.78021,550
8.48839,551
8.276605,552
8.555696,553
8.607328,554
8.61195,555
8.240332,556
7.8989267,557
8.029,558
7.256711,559
6.3097577,560
5.671627,561
6.24984,562
6.8838973,563
7.2818546,564
7.7390385,565
8.195013,566
8.728055,567
8.611731,568
7.976826,569
7.4828672,570
6.5813837,571
7.5256176,572
7.3211803,573
8.474318,574
8.852639,575
9.036489,576
9.225107,577
8.840231,578
9.567358,579
9.556997,580
9.375349,581
8.666958,582
7.7269344,583
6.7804146,584
4.5637884,585
5.228181,586
6.0016913,587
7.4405656,588
7.295637,589
7.117041,590
8.403736,591
8.479242,592
8.786516,593
8.524004,594
8.5121565,595
8.3763275,596
8.745313,597
8.475157,598
7.6957793,599
7.363104,600
7.6089725,601
6.822114,602
7.038313,603
7.081879,604
6.5906825,605
7.1309896,606
7.541169,607
8.311167,608
8.721488,609
9.076162,610
9.406764,611
9.695141,612
9.527409,613
9.04296,614
7.9759674,615
6.3656373,616
6.009859,617
4.8748245,618
3.8942127,619
4.7408648,620
5.172499,621
5.8684893,622
6.032312,623
6.2434716,624
6.0423937,625
7.239011,626
7.879729,627
8.08103,628
8.669843,629
8.899889,630
8.496662,631
8.888112,632
8.456524,633
7.4477196,634
7.0083375,635
7.3447404,636
6.6375256,637
7.8884735,638
8.603195,639
8.672599,640
8.586325,641
8.83693,642
8.223117,643
7.9394693,644
8.289797,645
7.7710648,646
7.955136,647
8.090925,648
8.743859,649
9.367419,650
9.881975,651
9.757015,652
9.883311,653
9.880868,654
9.485977,655
9.0019,656
9.168387,657
9.037458,658
8.636744,659
9.011193,660
8.5267105,661
8.363632,662
7.5970154,663
8.137988,664
8.302117,665
8.13031,666
7.124259,667
7.6767015,668
8.495571,669
8.769581,670
8.624708,671
8.113653,672
7.354867,673
7.7179646,674
8.458168,675
7.799167,676
6.623849,677
6.222595,678
5.2266107,679
6.3832254,680
6.2726173,681
4.922324,682
5.1677785,683
5.91011,684
6.5596566,685
6.7667146,686
7.094846,687
7.5473437,688
7.9380164,689
7.43184,690
6.522455,691
7.992217,692
7.4226007,693
6.54638,694
