Return,total_numsteps
-2.9096744,63
-4.7318244,64
-2.19423,65
-0.3165868,66
-0.029640703,67
-0.264603,68
-0.44165045,69
-0.8181,70
-0.88483185,71
-0.5214414,72
-0.1779535,73
-0.36928034,74
-0.77187383,75
-1.034706,76
-2.1550484,77
-3.9827201,78
-7.26077,79
-3.3310795,80
0.17053795,81
3.2597704,82
3.302074,83
0.87840843,84
-8.329056,85
-6.1281776,86
-5.176932,87
-4.532024,88
-5.71364,89
-5.6204095,90
-6.68691,91
-7.6131897,92
-6.3769035,93
-1.4683743,94
4.8453946,95
9.007191,96
8.745501,97
3.364252,98
0.37579823,99
0.88003254,100
3.485434,101
6.971426,102
4.630486,103
-1.7981215,104
-7.2511272,105
-6.9154663,106
-4.1701164,107
-3.735014,108
-6.3231773,109
-8.178032,110
-7.780655,111
-5.8331757,112
-2.0453243,113
3.6578708,114
8.446605,115
9.521527,116
7.3227034,117
6.9724026,118
9.1482,119
9.75192,120
8.44163,121
7.091383,122
5.2456193,123
2.7811842,124
1.8984127,125
2.0771194,126
1.6344013,127
1.9459534,128
1.512455,129
3.1463957,130
6.3899007,131
9.267297,132
9.86729,133
9.85286,134
9.661831,135
8.180356,136
5.6747212,137
2.2803783,138
1.9115,139
2.341641,140
3.5671568,141
6.5880613,142
7.006406,143
8.203097,144
9.02592,145
9.29747,146
8.333721,147
5.7206864,148
4.6376343,149
3.3601942,150
3.2460628,151
4.7597675,152
6.703785,153
9.056887,154
8.368433,155
5.1765366,156
4.2481394,157
5.611585,158
7.990283,159
9.42075,160
9.822572,161
8.501188,162
7.321286,163
5.4912024,164
4.8645616,165
5.0356226,166
7.246089,167
9.497626,168
9.971084,169
9.779687,170
9.363219,171
8.956322,172
8.754577,173
9.192081,174
9.575327,175
9.621894,176
9.822068,177
9.127879,178
8.900876,179
8.435127,180
9.086548,181
9.50439,182
9.629532,183
9.81562,184
9.622991,185
9.43657,186
9.875439,187
9.754141,188
9.148801,189
8.569761,190
8.040541,191
7.781953,192
7.452453,193
6.8446083,194
5.977772,195
6.4219317,196
6.073289,197
6.2388926,198
7.2893505,199
8.67364,200
9.904667,201
9.116023,202
7.9571133,203
5.820489,204
5.969078,205
7.525108,206
8.28318,207
7.6021214,208
7.446887,209
8.099129,210
9.475025,211
9.763728,212
8.614895,213
6.9418144,214
5.1815963,215
4.382575,216
4.461932,217
3.813592,218
4.198447,219
4.4277015,220
5.7427626,221
7.7655044,222
9.083881,223
9.83658,224
9.769531,225
9.056756,226
6.756344,227
0.5214319,228
-2.8518991,229
-1.6134834,230
0.4117298,231
4.1429634,232
7.4567623,233
9.015344,234
9.281555,235
8.966428,236
8.388917,237
7.5127273,238
6.900502,239
7.450817,240
8.5593,241
9.356188,242
9.198262,243
8.232212,244
6.900153,245
6.1510906,246
6.5809584,247
6.657239,248
5.843857,249
5.543889,250
5.6610374,251
7.402383,252
8.65571,253
9.811792,254
9.971765,255
9.571572,256
9.116576,257
8.81086,258
8.620178,259
7.7130766,260
5.576522,261
3.4245687,262
3.506215,263
3.2676644,264
4.165464,265
4.710411,266
