A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-81.54591954292225,-81.64591954292226,-80.94591954292225,0.3709884871840477,0.3077481378316879,0.24253588938713075,-244.13775862876673,1.0,1.0,1.0,-2.8241077661514282,-2.8351913690567017,-2.9720535278320312,2.737400531768799,3.0989389419555664,2.8092308044433594,-1.2029229402542114,-1.1447901725769043,-1.1654847860336304,-1.5575721263885498,-1.4251526594161987,-1.4506049156188965,10,275
-81.92430087734114,-82.02430087734113,-82.32430087734113,0.18130076904967427,0.16624099012091756,0.15463726997282357,-246.2729026320234,1.0,1.0,1.0,-8.791707038879395,-8.761680126190186,-8.867833137512207,0.17023099958896637,0.1896701455116272,0.15763238072395325,-1.1801824569702148,-1.2881487607955933,-1.2841289043426514,-4.339378356933594,-4.379193305969238,-4.418398380279541,15,400
-80.63484992451467,-80.43484992451467,-78.73484992451466,0.14556751408800483,0.16304492024704814,0.13581940599530934,-239.80454977354398,1.0,1.0,1.0,-12.25989055633545,-12.034660339355469,-12.32038927078247,0.16598650813102722,0.2056838572025299,0.11502400040626526,-1.3210833072662354,-1.2817083597183228,-1.2886102199554443,-6.141687870025635,-6.046873569488525,-6.143613338470459,20,525
-79.05132976269068,-78.85132976269068,-79.25132976269069,0.17367329930514097,0.1305044053606689,0.1380250185895711,-237.15398928807204,1.0,1.0,1.0,-16.02253007888794,-15.381377220153809,-16.08150863647461,0.18543942272663116,0.1774134486913681,0.14982470870018005,-1.294484257698059,-1.3005081415176392,-1.2948626279830933,-8.084441184997559,-7.891759395599365,-7.842226028442383,25,650
-80.26132017471664,-80.06132017471664,-80.26132017471664,0.11944042536057532,0.09413106833584607,0.11190433923900127,-240.58396052414992,1.0,1.0,1.0,-19.12357807159424,-18.716320037841797,-19.28732204437256,0.2181113362312317,0.19158688187599182,0.1675330549478531,-1.3131741285324097,-1.310410499572754,-1.3312605619430542,-9.483457565307617,-9.511516571044922,-9.693230628967285,30,775
-64.84960427588314,-65.44960427588313,-65.14960427588314,0.06068300321511924,0.043075395719148216,0.04431360604707152,-195.44881282764942,1.0,1.0,1.0,-23.121575355529785,-22.79234790802002,-22.98423194885254,0.2594558000564575,0.1993929147720337,0.19990287721157074,-1.3385103940963745,-1.330143690109253,-1.324958324432373,-11.700874328613281,-11.550895690917969,-11.35956859588623,35,900
-70.33237995197643,-71.03237995197642,-71.53237995197642,0.06532804416865111,0.09428124803304672,0.0464801783002913,-212.8971398559293,1.0,1.0,1.0,-26.549152374267578,-26.080822944641113,-26.581087112426758,0.2814390957355499,0.2557523846626282,0.26037341356277466,-1.3315519094467163,-1.335681676864624,-1.348989725112915,-13.276468276977539,-13.271692276000977,-13.3502779006958,40,1025
-65.357801309048,-65.457801309048,-65.257801309048,0.05102559230849147,0.055146748377010224,0.04152882105484605,-196.073403927144,1.0,1.0,1.0,-29.599431037902832,-28.60275173187256,-29.557774543762207,0.27565285563468933,0.2265426367521286,0.3004458248615265,-1.3323453664779663,-1.335440754890442,-1.3388055562973022,-14.833855628967285,-14.546767234802246,-14.802539825439453,45,1150
-77.08187986532573,-77.18187986532573,-77.18187986532573,0.04109418005589396,0.06407014632923529,0.04584369921544567,-231.44563959597718,1.0,1.0,1.0,-32.481075286865234,-32.51553153991699,-33.03145980834961,0.3163701295852661,0.2616555690765381,0.34532430768013,-1.3169560432434082,-1.343857765197754,-1.3358099460601807,-16.33212661743164,-16.67091941833496,-16.31902313232422,50,1275
-75.63527399729037,-74.43527399729037,-75.63527399729037,0.03252641816809773,0.07662689506448805,0.039079297214746476,-225.70582199187112,1.0,1.0,1.0,-36.1025333404541,-35.20035743713379,-34.694515228271484,0.3403964936733246,0.299990713596344,0.32134145498275757,-1.3165348768234253,-1.3508832454681396,-1.3351713418960571,-18.03033447265625,-17.540435791015625,-17.50098991394043,55,1400
