A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-93.2773582439502,-93.7773582439502,-93.9773582439502,0.25968836794793604,0.23269139497540892,0.25220744069293144,-281.0320747318506,-6.289525747299194,-6.075480699539185,-6.562771558761597,0.7553269267082214,0.7165601849555969,0.9482805132865906,-3.088150978088379,-3.478224515914917,-3.285783290863037,10,275
-72.1253769374538,-72.6253769374538,-72.52537693745379,0.004263874826487154,0.004466698598698713,0.004133171577675967,-217.27613081236137,-12.707519054412842,-12.666397094726562,-12.528258323669434,0.09025389701128006,0.0824294239282608,0.09369868040084839,-6.2871270179748535,-6.137903690338135,-6.501651763916016,20,525
-74.19230090113574,-74.49230090113574,-74.49230090113574,0.008931043107062579,0.010646841041743755,0.005483596707461401,-223.17690270340722,-19.933533668518066,-20.151123046875,-20.46235466003418,0.1546918749809265,0.12407897412776947,0.14517560601234436,-10.235105514526367,-10.008237838745117,-10.137886047363281,30,775
-75.74565604763617,-75.74565604763617,-75.14565604763618,0.004913218621048145,0.005210616226191633,0.00460407871985808,-226.63696814290853,-27.270931243896484,-27.004857063293457,-27.0659236907959,0.2535044848918915,0.23963406682014465,0.2818252444267273,-13.722776412963867,-13.608522415161133,-13.514954566955566,40,1025
-79.0202568540961,-78.1202568540961,-78.3202568540961,0.010432926586829126,0.00579379342799075,0.005957765629049391,-235.46077056228833,-34.26088905334473,-34.468061447143555,-34.27203369140625,0.28401562571525574,0.36240991950035095,0.308162659406662,-17.504470825195312,-17.149599075317383,-16.929210662841797,50,1275
-75.06525524161711,-75.46525524161711,-74.96525524161711,0.008106533311540261,0.007156016908586025,0.0038940474742557856,-225.49576572485134,-39.79178047180176,-39.990591049194336,-39.92787551879883,0.3951101005077362,0.38331839442253113,0.4084455370903015,-19.88594627380371,-20.268356323242188,-19.763893127441406,60,1525
-65.44462086066014,-65.44462086066014,-65.04462086066013,0.010070813649799676,0.0098286902543623,0.008933497125282883,-195.93386258198038,-45.4120979309082,-46.14617347717285,-44.83918380737305,0.4214145541191101,0.5361507534980774,0.4880070686340332,-23.35065269470215,-23.032873153686523,-22.40444564819336,70,1775
-66.15888939411242,-66.25888939411242,-66.25888939411244,0.006458838301390642,0.012128332808613777,0.0059351371518569064,-198.6766681823373,-49.657304763793945,-50.87825584411621,-51.12859344482422,0.5605666041374207,0.4466979503631592,0.55091792345047,-25.384241104125977,-25.518634796142578,-25.406129837036133,80,2025
-72.82259194144845,-73.22259194144844,-73.22259194144844,0.008196159020415508,0.010792323670815677,0.011860561191104353,-219.26777582434534,-55.54107856750488,-55.05172157287598,-55.357011795043945,0.578099250793457,0.5247954726219177,0.5947648882865906,-27.68242835998535,-27.720407485961914,-27.83738136291504,90,2275
-78.84565248455456,-77.24565248455457,-78.54565248455457,0.011972344807116314,0.011287773289019242,0.00968863594683353,-234.6369574536637,-59.656307220458984,-60.55354118347168,-59.249053955078125,0.6876510977745056,0.6374150514602661,0.8421998620033264,-29.52773666381836,-30.155048370361328,-29.989145278930664,100,2525
-67.48496474084625,-67.98496474084625,-67.68496474084625,0.01464876498398371,0.005583706712699496,0.009585856192861683,-203.15489422253876,-62.193288803100586,-63.014535903930664,-62.26509475708008,0.8620783090591431,0.62009197473526,0.9579819440841675,-31.08035659790039,-31.796579360961914,-31.657529830932617,110,2775
-70.33045826180145,-69.93045826180146,-70.23045826180146,0.01413921803748235,0.007233513043960556,0.008444939363282174,-210.4913747854044,-66.58877182006836,-66.93562316894531,-66.42744445800781,0.8070118427276611,0.7648543119430542,0.7802017331123352,-33.458927154541016,-32.997642517089844,-33.757015228271484,120,3025
-63.377607008080396,-63.07760700808039,-63.177607008080386,0.009832699276506901,0.015351052785292267,0.009102027627290227,-189.6328210242412,-69.27473068237305,-71.52083587646484,-70.5519905090332,0.8338735699653625,0.6607173085212708,0.7934235334396362,-35.475059509277344,-35.63734436035156,-35.196800231933594,130,3275
-65.00563595722863,-64.80563595722863,-64.80563595722863,0.01049288074229844,0.010072133464040236,0.015048624222166837,-194.6169078716859,-74.1579475402832,-75.05186462402344,-73.25397491455078,0.7442723512649536,0.7631014585494995,0.8807732462882996,-37.02021026611328,-36.622772216796875,-36.947784423828125,140,3525
-67.72401057141582,-67.32401057141581,-67.62401057141582,0.01331424948014319,0.0101128322025761,0.009919216128764674,-202.67203171424745,-77.2177619934082,-77.29874420166016,-78.48953628540039,1.2400933504104614,0.8678014278411865,0.9717645645141602,-39.48258972167969,-37.94950866699219,-39.53132629394531,150,3775
-68.06614917296285,-67.66614917296286,-68.56614917296285,0.014856820124667137,0.013951806938275696,0.019012729251757263,-204.29844751888857,-78.2835922241211,-79.06283187866211,-78.80713653564453,0.8781836032867432,1.231940746307373,1.040961742401123,-39.94631576538086,-38.635746002197266,-40.31041717529297,160,4025
-64.4366888218676,-64.63668882186761,-62.13668882186761,0.013762217168929055,0.01363926380407065,0.020686728779226542,-191.2100664656028,-83.2247085571289,-79.5648193359375,-82.25120162963867,0.9896643161773682,1.4927325248718262,0.9621971249580383,-40.79530334472656,-40.25338363647461,-41.21876525878906,170,4275
-67.93112627644999,-67.33112627644998,-67.53112627644998,0.011550093775964342,0.012220258685527369,0.014842086700722575,-202.79337882934993,-84.69126892089844,-82.31649398803711,-85.8514633178711,1.1607813835144043,0.7981307506561279,0.8592996597290039,-42.867557525634766,-41.43726348876953,-43.245574951171875,180,4525
-74.02111107880383,-72.42111107880383,-73.12111107880382,0.01544537945324555,0.019725484148599207,0.015638818205799907,-219.56333323641147,-86.55693054199219,-87.37932205200195,-85.74850082397461,1.1198961734771729,0.7466962337493896,0.9527192115783691,-43.073646545410156,-43.82615661621094,-43.788631439208984,190,4775
-67.23946795774721,-66.73946795774721,-66.23946795774721,0.01523565397784114,0.011346679220092483,0.016510917766951023,-200.2184038732416,-86.26911926269531,-90.02439498901367,-88.27408981323242,0.9469181895256042,0.9819197654724121,1.3078895807266235,-44.18975067138672,-44.51813507080078,-44.72877883911133,200,5025
-65.1426650839692,-65.54266508396921,-63.242665083969214,0.017626620383467524,0.014290766102261841,0.021537967391312123,-193.92799525190762,-89.5573616027832,-88.4105224609375,-88.77313613891602,1.1377230882644653,1.5667213201522827,1.4916787147521973,-43.555076599121094,-45.43009948730469,-45.025474548339844,210,5275
-60.974278964472,-60.274278964472,-61.574278964472,0.020941418509930372,0.013417795641813427,0.014861412613885476,-182.822836893416,-90.70415496826172,-90.68140411376953,-91.69849395751953,1.3986849784851074,0.9752861857414246,1.110077977180481,-45.325862884521484,-45.440765380859375,-46.74623107910156,220,5525
-67.1199869841436,-65.6199869841436,-67.4199869841436,0.014710716566536575,0.011620493510272355,0.009976632726145908,-200.15996095243077,-91.33440017700195,-92.32704162597656,-90.87807083129883,1.0423732995986938,2.0963356494903564,1.0982576608657837,-45.693233489990234,-45.6590690612793,-47.40929412841797,230,5775
-61.30965996571666,-61.60965996571666,-59.90965996571666,0.01939105386286974,0.012158838722854852,0.012635327687021344,-182.82897989714996,-94.32759857177734,-93.92712783813477,-93.07622146606445,1.1008226871490479,1.110241413116455,1.2346946001052856,-47.53141403198242,-46.807762145996094,-47.28897476196289,240,6025
-57.662630154022054,-57.662630154022054,-56.662630154022054,0.015040898811304942,0.01033739345043432,0.015079764856258407,-171.98789046206616,-94.65849685668945,-93.55028915405273,-94.63304138183594,1.4428579807281494,0.9891090393066406,1.3326551914215088,-47.21583938598633,-45.9359016418457,-48.661563873291016,250,6275
-65.93875239724197,-64.83875239724196,-65.93875239724197,0.013468534885905683,0.009711227707332,0.01468463308387436,-196.7162571917259,-93.66974639892578,-93.80920791625977,-94.90903854370117,2.224933385848999,0.8763101100921631,1.006896734237671,-46.41126251220703,-47.561092376708984,-48.19194030761719,260,6525
-63.80185265532454,-63.101852655324535,-63.40185265532453,0.014088263905141502,0.01258147615659982,0.011415450472384691,-190.3055579659736,-95.6970100402832,-96.71321105957031,-94.07558822631836,1.1963335275650024,1.1396859884262085,1.535515546798706,-46.91987609863281,-48.59605026245117,-48.734703063964844,270,6775
-65.72241777707197,-65.12241777707197,-64.72241777707197,0.01701579595450312,0.01893764895386994,0.01706390327285044,-195.5672533312159,-95.06158828735352,-96.14976501464844,-97.04684448242188,1.04931640625,1.0272955894470215,1.2579634189605713,-48.227622985839844,-47.463096618652344,-49.11858367919922,280,7025
-66.97720882005714,-66.47720882005714,-67.17720882005713,0.025168453957885504,0.01692337724287063,0.01431496274471283,-200.6316264601714,-96.0318603515625,-95.9969482421875,-96.30247116088867,1.3233904838562012,1.0512136220932007,0.8524312973022461,-48.24944305419922,-47.96880340576172,-48.69561767578125,290,7275
-54.07935437159508,-55.67935437159508,-54.97935437159508,0.014694104243069887,0.013848055722657591,0.00815538317942992,-164.73806311478523,-96.77697372436523,-95.16315078735352,-96.07481384277344,1.019553542137146,1.4961506128311157,1.471851110458374,-46.895320892333984,-48.76340103149414,-49.24663543701172,300,7525
-68.76692048524016,-68.06692048524016,-68.26692048524016,0.02311239908495918,0.017458834884222597,0.01466630621254444,-205.1007614557205,-96.55484390258789,-94.0166015625,-96.07353591918945,1.3749072551727295,1.9297610521316528,1.0112594366073608,-47.675071716308594,-47.82255554199219,-47.987037658691406,310,7775
-59.40882760259899,-59.60882760259899,-57.70882760259899,0.020425326265394686,0.022876518434844912,0.02276215138286352,-176.72648280779697,-96.48466873168945,-95.75889205932617,-95.27554702758789,1.1410661935806274,1.4253106117248535,1.1244678497314453,-48.68021011352539,-46.2705078125,-48.193756103515625,320,8025
-65.1026299346266,-64.40262993462662,-64.90262993462662,0.01655684449709952,0.014246293418342248,0.013560973850544542,-194.40788980387984,-94.74080657958984,-94.90228652954102,-95.60961151123047,0.9763444066047668,1.5354995727539062,1.1274170875549316,-46.910823822021484,-48.3757438659668,-47.307044982910156,330,8275
-62.504448359180415,-62.20444835918041,-62.10444835918041,0.026742738174274562,0.016095726569881664,0.02390380428917706,-186.81334507754121,-96.07144927978516,-95.91168594360352,-96.27087783813477,1.1542494297027588,1.0637845993041992,1.3562779426574707,-48.338253021240234,-48.95478820800781,-47.500572204589844,340,8525
-58.06367321631923,-59.56367321631923,-59.763673216319226,0.02207449928531423,0.024246773674152792,0.020871077347779647,-177.39101964895767,-96.5368766784668,-96.16495132446289,-96.5256576538086,1.4723985195159912,1.3946939706802368,1.8911848068237305,-47.96294021606445,-48.126686096191406,-48.361839294433594,350,8775
-63.00905021717254,-62.809050217172555,-63.40905021717255,0.02375031714508077,0.016540016944985837,0.022669358748011292,-189.22715065151766,-97.19801712036133,-97.9903564453125,-96.2739028930664,1.062979817390442,1.451756238937378,1.382570743560791,-48.922821044921875,-48.2816047668457,-48.173274993896484,360,9025
-66.94516343484399,-66.045163434844,-66.74516343484399,0.028652878860943018,0.019820101068355144,0.02414488773327321,-199.735490304532,-96.92070388793945,-96.28702545166016,-97.19254302978516,2.236351728439331,1.141094446182251,1.0810637474060059,-48.80207443237305,-48.09748840332031,-47.526123046875,370,9275
-71.94939610505432,-70.34939610505431,-71.74939610505432,0.02651058681542054,0.02543233577546198,0.02122743579582311,-214.04818831516295,-96.53799438476562,-97.74894332885742,-98.03482055664062,1.460821270942688,1.0635581016540527,1.2134859561920166,-48.401023864746094,-49.46062088012695,-47.902252197265625,380,9525
-60.82448288772014,-61.224482887720136,-62.82448288772014,0.01822075972217135,0.02124449121952057,0.014895861058030278,-184.87344866316042,-96.19515609741211,-94.77770614624023,-94.95161437988281,1.1538257598876953,1.0309334993362427,1.3851042985916138,-47.6205940246582,-47.496986389160156,-48.39937973022461,390,9775
-56.41525761802045,-58.21525761802045,-58.21525761802045,0.018115346378879623,0.017406568628852256,0.018510408157017082,-172.84577285406135,-97.10585021972656,-96.02790832519531,-97.01375579833984,0.9980635046958923,1.9273731708526611,1.2821589708328247,-49.00117492675781,-47.934906005859375,-48.75310516357422,400,10025
-66.02605112180197,-64.12605112180196,-65.32605112180195,0.01930421186191961,0.025503254428505897,0.02771817601751536,-195.4781533654059,-94.29958724975586,-96.77658081054688,-95.97822189331055,1.5295313596725464,1.41331148147583,1.0912901163101196,-47.788787841796875,-48.7196044921875,-48.33641052246094,410,10275
-62.85035371150237,-62.150353711502376,-63.050353711502375,0.020129321966320276,0.019715331797488033,0.02047518449020572,-188.0510611345071,-98.4529800415039,-95.0892219543457,-96.74471664428711,1.278693437576294,1.3197057247161865,1.1981202363967896,-48.6317253112793,-48.986045837402344,-48.86082077026367,420,10525
-66.13906960043701,-65.339069600437,-65.63906960043701,0.022030653819441796,0.019708414362743495,0.019564233096083627,-197.11720880131102,-97.31002807617188,-96.09725952148438,-95.78004455566406,1.7747000455856323,1.7340211868286133,1.1650739908218384,-47.2840576171875,-48.928836822509766,-47.81941223144531,430,10775
